"Country Name","Country code",1960,1970,1980,1990,2000,2010,2020
"Sint Maarten (Dutch part)",SXM,2646,6260,12243,27845,30519,34056,40350
Seychelles,SYC,41700,53600,63261,69507,81131,89770,98462
"Syrian Arab Republic",SYR,4610712,6319199,8898954,12408996,16307654,22337563,20772595
"Turks and Caicos Islands",TCA,5604,5665,7598,11709,18744,29726,44276
Chad,TCD,3028688,3667394,4408230,5827069,8259137,11894727,16644701
Togo,TGO,1651367,2197383,2838110,3875947,5008035,6571855,8442580
Thailand,THA,26596584,35791728,45737753,55228410,63066603,68270489,71475664
Tajikistan,TJK,2131992,2993019,4045965,5417860,6272998,7621779,9543207
Turkmenistan,TKM,1602052,2201432,2862903,3720278,4569132,5267970,6250438
Timor-Leste,TLS,468573,554021,642224,758106,878360,1088486,1299995
Tonga,TON,67428,86484,96708,98727,102603,107383,105254
"Trinidad and Tobago",TTO,847063,988890,1127852,1266518,1332203,1410296,1518147
Tunisia,TUN,4195467,5047404,6578156,8440023,9893316,10895063,12161723
Turkey,TUR,27510980,35540990,44089069,54324142,64113547,73142150,83384680
Tuvalu,TUV,5404,5814,7731,9182,9638,10550,11069
"Tanzania, United Republic of",TZA,10042458,13618192,19297659,26206012,34463704,45110527,61704518
Uganda,UGA,7617746,10317212,13284026,17586630,24020697,32341728,44404611
Ukraine,UKR,42767251,47279086,49973920,51891400,49176500,45870741,44207754
Uruguay,URY,2529021,2790265,2953750,3117012,3292224,3352651,3429086
"United States",USA,180671000,205052000,227225000,249623000,282162411,309327143,331526933
Uzbekistan,UZB,8372311,12011361,15947129,20510000,24650400,28562400,34232050
"Saint Vincent & the Grenadines",VCT,84141,98459,107480,112487,113813,109308,104632
"Venezuela, Bolivarian Republic of",VEN,8156937,11355475,15210443,19750579,24427729,28715022,28490453
"Virgin Islands, British",VGB,7850,9581,11109,15617,20104,27556,30910
"Virgin Islands, U.S.",VIR,32500,63476,99636,103963,108642,108357,106290
"Viet Nam",VNM,32718461,41928849,52968270,66912613,79001142,87411012,96648685
Vanuatu,VUT,64608,87019,118156,150882,192074,245453,311685
Samoa,WSM,113335,142771,164905,168186,184008,194672,214929
Kosovo,XKX,990150,1238238,1589395,1964986,1823286,1792563,1790133
Yemen,YEM,5542459,6843607,9204938,13375121,18628700,24743946,32284046
"South Africa",ZAF,16520441,22368306,29463549,39877570,46813266,51784921,58801927
Zambia,ZMB,3119430,4281671,5720438,7686401,9891136,13792086,18927715
Zimbabwe,ZWE,3806310,5202918,7049926,10113893,11834676,12839771,15669666
