South Sudan,7157,7157,7157,7157,7157,7157,7157,7157,7157
Spain,13904.66,17093.93,18545.34,18551.18,18555.24,18559.3,18563.59,18567.88,18572.17
Sri Lanka,2350.33,2166.42,2103.62,2128.82,2125.66,2122.5,2119.34,2116.18,2113.02
Sudan,23570.31,21826.16,20081.17,19209.93,19048.19,18876.03,18703.87,18531.71,18359.55
Suriname,15377.63,15340.87,15299.86,15251.67,15240.32,15233.02,15220.78,15208.53,15196.29
Svalbard and Jan Mayen Islands,0,0,0,0,0,0,0,0,0
Sweden,28063,28163,28073,27980,27980,27980,27980,27980,27980
Switzerland,1153.5,1196.18,1234.72,1251.91,1255.35,1258.79,1262.23,1265.67,1269.11
Syrian Arab Republic,372.08,432.08,492.08,522.08,522.08,522.08,522.08,522.08,522.08
Tajikistan,408,410,410,421.8,421.8,421.8,421.8,422.8,423.8
Thailand,19361,18998,20073,20061,20017,19981,19945,19909,19873
Timor-Leste,963.1,949.1,935.1,928.1,926.7,925.6,923.9,922.5,921.1
Togo,1361.66,1268.46,1238.87,1224.07,1221.11,1218.15,1215.19,1212.23,1209.27
Tokelau (Desk study),0,0,0,0,0,0,0,0,0
Tonga,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95
Trinidad and Tobago,242.06,236.65,232.41,230.29,229.87,229.45,229.03,228.61,228.19
Tunisia,643.98,667.85,687.43,695.08,696.61,698.14,699.67,701.2,702.73
Turkey,19783.48,20148.35,21083.08,21630.3,21630.3,21752.46,21908.36,22064.36,22220.36
Turkmenistan (Desk study),4127,4127,4127,4127,4127,4127,4127,4127,4127
Turks and Caicos Islands (Desk study),10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52
Tuvalu,1,1,1,1,1,1,1,1,1
Uganda,3575.47,3162.95,2750.42,2544.16,2502.91,2461.66,2420.41,2379.15,2337.9
Ukraine,9274,9510,9548,9657,9664,9671,9678,9684,9690
United Arab Emirates (Desk study),245,309.43,317.3,317.3,317.3,317.3,317.3,317.3,317.3
United Kingdom of Great Britain and Northern Ireland,2778,2954,3059,3155,3159,3164,3173,3182,3190
United Republic of Tanzania,57390.01,53670.01,49950.01,48090,47621,47152,46683,46214,45745
United States Virgin Islands,24.54,20.47,18.43,19.16,19.31,19.46,19.61,19.76,19.91
United States of America,302450,303536,308720,310095,310095,309795,309795,309795,309795
