Malta,0.35,0.35,0.35,0.35,0.38,0.42,0.46,0.46,0.46,False
Marshall Islands,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,False
Martinique,47.84,48.74,50.29,51.29,51.49,51.69,51.89,52.09,52.29,False
Mauritania,476.04,421.64,367.24,340.04,334.6,329.2,323.7,318.3,312.8,False
Mauritius,41.07,41.93,38.39,38.3,38.29,38.65,38.69,38.73,38.77,False
Mayotte,19.1,15.67,14.41,14.14,14.09,14.04,13.99,13.94,13.89,False
Mexico,70591.65,68381.35,66943.31,66330.91,66203.15,66075.38,65947.61,65819.85,65692.08,False
Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Mongolia,14352.0,14263.9,14183.9,14178.33,14177.22,14176.11,14175.0,14173.89,14172.78,False
Montenegro,626.0,626.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0,False
Montserrat,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,True
Morocco,5485.29,5506.54,5674.57,5684.69,5699.79,5711.59,5721.59,5732.09,5742.49,False
Mozambique,43378.0,41188.0,38972.14,37940.0,37628.29,37406.6,37224.17,36966.11,36743.76,False
Myanmar,39218.48,34868.11,31441.0,29992.44,29702.73,29413.02,29123.31,28833.6,28543.89,False
Namibia,8769.17,8059.08,7348.99,6993.95,6922.94,6851.93,6780.92,6709.91,6638.9,False
Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Nepal,5672.0,5780.76,5962.03,5962.03,5962.03,5962.03,5962.03,5962.03,5962.03,False
Netherlands,345.33,359.5,373.48,364.83,365.76,366.7,367.63,368.57,369.5,False
New Caledonia,831.13,837.85,839.02,838.52,838.42,838.32,838.22,838.12,838.02,True
New Zealand,9372.27,9850.44,9848.12,9846.61,9846.75,9850.85,9855.15,9865.52,9892.59,False
Nicaragua,6399.32,5399.32,4188.15,3907.53,3807.53,3707.53,3607.53,3507.53,3407.53,False
Niger,1945.0,1328.1,1203.9,1141.8,1129.38,1116.96,1104.54,1092.12,1079.7,False
Nigeria,26526.09,24893.04,23259.98,22443.45,22280.15,22116.85,21953.55,21790.25,21626.95,False
Niue,18.93,18.83,18.77,18.82,18.83,18.84,18.85,18.86,18.87,False
Norfolk Island,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,True
Northern Mariana Islands,33.61,31.96,30.32,29.49,24.36,24.36,24.36,24.36,24.36,False
Norway,12132.0,12113.0,12102.0,12141.0,12148.8,12156.6,12164.4,12172.2,12180.0,False
Oman,3.0,3.0,3.0,3.0,2.8,2.7,2.6,2.5,2.5,False
Pakistan,4986.79,4511.26,4093.73,3932.6,3868.24,3849.92,3808.58,3767.24,3725.9,False
